lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2,weibull.max,weibull.adjust
TB,secchi_max,2005-07-25,2005,206,226.63819176797915,0.6815896796820113,TRUE,FALSE
TB,secchi_max,2006-08-22,2006,234,274.3703890153345,0.5708949196519905,FALSE,TRUE
TB,secchi_max,2007-08-02,2007,214,207.92969645984837,0.38826092621378827,TRUE,FALSE
TB,secchi_max,2008-06-20,2008,172,154.56200890986622,0.32569371923407076,FALSE,TRUE
TB,secchi_max,2009-09-15,2009,258,273.03315943184134,0.804200224478153,FALSE,TRUE
TB,secchi_max,2010-07-22,2010,203,234.5347694852735,0.5462299413388467,FALSE,TRUE
TB,secchi_max,2011-07-25,2011,206,206.5871149782714,0.8755925418828902,TRUE,FALSE
TB,secchi_max,2012-07-23,2012,205,207.7254663755936,0.7070315174008425,TRUE,FALSE
TB,secchi_max,2014-07-29,2014,210,228.0456721516321,0.33054484142403595,TRUE,FALSE
TB,secchi_max,2015-08-25,2015,237,272.02235783101867,0.5318311447226054,TRUE,FALSE
TB,secchi_max,2016-07-06,2016,188,187.6992547313362,0.8531396623812593,TRUE,FALSE
TB,secchi_max,2017-06-26,2017,177,184.95409760679624,0.4897088142565673,TRUE,FALSE
TB,secchi_max,2018-05-16,2018,136,145.97229147654846,0.5078432035561694,TRUE,TRUE
TB,secchi_max,2019-07-29,2019,210,162.57048390752541,0.4458392347993585,FALSE,TRUE
TR,secchi_max,1982-06-22,1982,173,172.42633406788087,0.516901670871786,TRUE,FALSE
TR,secchi_max,1984-06-19,1984,171,172.72079652345647,0.8537865612308189,TRUE,FALSE
TR,secchi_max,1985-06-11,1985,162,162.1077068621209,0.5949747316839291,TRUE,FALSE
TR,secchi_max,1986-06-17,1986,168,160.34554676360958,0.7130204867614846,TRUE,TRUE
TR,secchi_max,1987-07-27,1987,208,189.04330885652465,0.6448228927773989,TRUE,FALSE
TR,secchi_max,1988-06-07,1988,159,156.41674528561816,0.7823417986184493,TRUE,FALSE
TR,secchi_max,1989-06-28,1989,179,208.10385255086413,0.3160936014221166,TRUE,FALSE
TR,secchi_max,1990-06-25,1990,176,182.01626606486383,0.6803037309282326,TRUE,FALSE
