lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2
BM,iceon,2009-12-07,2009,341,NA,NA
BM,iceon,2010-12-06,2010,340,NA,NA
BM,iceon,2011-12-05,2011,339,NA,NA
BM,iceon,2012-12-11,2012,346,NA,NA
BM,iceon,2013-11-27,2013,331,NA,NA
BM,iceon,2014-11-21,2014,325,NA,NA
BM,iceon,2015-12-28,2015,362,NA,NA
BM,iceon,2016-12-12,2016,347,NA,NA
BM,iceon,2017-12-11,2017,345,NA,NA
BM,iceon,2018-11-19,2018,323,NA,NA
BM,iceon,2019-12-02,2019,336,NA,NA
BM,iceon,2020-12-07,2020,342,NA,NA
CB,iceon,1981-11-23,1981,327,NA,NA
CB,iceon,1982-11-22,1982,326,NA,NA
CB,iceon,1983-11-14,1983,318,NA,NA
CB,iceon,1984-11-06,1984,311,NA,NA
CB,iceon,1985-11-11,1985,315,NA,NA
CB,iceon,1986-11-10,1986,314,NA,NA
CB,iceon,1987-11-23,1987,327,NA,NA
CB,iceon,1988-11-18,1988,323,NA,NA
CB,iceon,1989-11-13,1989,317,NA,NA
CB,iceon,1990-11-26,1990,330,NA,NA
CB,iceon,1991-11-04,1991,308,NA,NA
CB,iceon,1992-11-06,1992,311,NA,NA
CB,iceon,1993-11-08,1993,312,NA,NA
CB,iceon,1994-11-23,1994,327,NA,NA
CB,iceon,1995-11-07,1995,311,NA,NA
CB,iceon,1996-11-11,1996,316,NA,NA
CB,iceon,1997-11-11,1997,315,NA,NA
CB,iceon,1998-12-08,1998,342,NA,NA
CB,iceon,1999-11-27,1999,331,NA,NA
CB,iceon,2000-11-17,2000,322,NA,NA
CB,iceon,2001-12-07,2001,341,NA,NA
CB,iceon,2002-11-14,2002,318,NA,NA
CB,iceon,2003-11-06,2003,310,NA,NA
CB,iceon,2004-11-22,2004,327,NA,NA
CB,iceon,2005-11-17,2005,321,NA,NA
CB,iceon,2006-11-30,2006,334,NA,NA
CB,iceon,2007-11-16,2007,320,NA,NA
CB,iceon,2008-11-17,2008,322,NA,NA
CB,iceon,2009-12-01,2009,335,NA,NA
CB,iceon,2010-11-22,2010,326,NA,NA
CB,iceon,2011-11-18,2011,322,NA,NA
CB,iceon,2012-11-26,2012,331,NA,NA
CB,iceon,2013-11-19,2013,323,NA,NA
CB,iceon,2014-11-10,2014,314,NA,NA
CB,iceon,2015-11-23,2015,327,NA,NA
CB,iceon,2016-12-05,2016,340,NA,NA
CB,iceon,2017-11-07,2017,311,NA,NA
CB,iceon,2018-11-09,2018,313,NA,NA
CB,iceon,2019-11-06,2019,310,NA,NA
CB,iceon,2020-11-18,2020,323,NA,NA
CR,iceon,1981-12-11,1981,345,NA,NA
CR,iceon,1982-12-07,1982,341,NA,NA
CR,iceon,1983-12-03,1983,337,NA,NA
CR,iceon,1984-12-01,1984,336,NA,NA
CR,iceon,1985-11-25,1985,329,NA,NA
